Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played,won
Dirk Nowitzki,32,Forward,DAL,73.0,73,34.3,23.0,0.517,0.5379999999999999,0.393,0.892,0.7,6.3,7.0,2.6,0.5,0.6,1.9,2.4,2011,0
Shaquille O'Neal,38,Center,BOS,37.0,36,20.3,9.2,0.667,0.667,0.0,0.557,1.3,3.5,4.8,0.7,0.4,1.1,1.5,3.2,2011,0
Lamar Odom,31,Forward,LAL,82.0,35,32.2,14.4,0.53,0.5660000000000001,0.382,0.675,2.1,6.5,8.7,3.0,0.6,0.7,1.7,2.4,2011,0
Emeka Okafor,28,Center,NOP,72.0,72,31.8,10.3,0.573,0.574,0.0,0.562,3.2,6.3,9.5,0.6,0.6,1.8,1.7,3.2,2011,0
Travis Outlaw,26,Forward,BRK,82.0,55,28.8,9.2,0.375,0.413,0.302,0.772,0.7,3.3,4.0,1.0,0.4,0.4,0.9,1.8,2011,0
Tony Parker,28,Guard,SAS,78.0,78,32.4,17.5,0.519,0.531,0.35700000000000004,0.769,0.4,2.7,3.1,6.6,1.2,0.0,2.6,1.7,2011,0
Chris Paul,25,Guard,NOP,80.0,80,36.0,15.9,0.463,0.482,0.388,0.878,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,2011,0
Paul Pierce,33,Forward,BOS,80.0,80,34.7,18.9,0.4970000000000001,0.547,0.374,0.86,0.4,5.0,5.4,3.3,1.0,0.6,2.1,2.9,2011,0
Tayshaun Prince,30,Forward,DET,78.0,78,32.8,14.1,0.473,0.486,0.34700000000000003,0.7020000000000001,1.0,3.2,4.2,2.8,0.4,0.5,1.1,1.2,2011,0
Zach Randolph,29,Forward,MEM,75.0,74,36.3,20.1,0.503,0.515,0.18600000000000005,0.758,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3,2011,0
J.J. Redick,26,Guard,ORL,59.0,5,25.6,10.1,0.441,0.482,0.397,0.875,0.1,1.8,1.9,1.7,0.5,0.1,0.9,1.4,2011,0
Jason Richardson,30,Guard,TOT,80.0,80,33.9,15.6,0.447,0.49,0.395,0.73,0.8,3.3,4.1,1.8,1.2,0.2,1.2,2.0,2011,0
Luke Ridnour,29,Guard,MIN,71.0,66,30.4,11.8,0.468,0.479,0.44,0.883,0.5,2.3,2.8,5.4,1.3,0.1,2.2,2.1,2011,0
Rajon Rondo,24,Guard,BOS,68.0,68,37.2,10.6,0.475,0.491,0.233,0.568,1.3,3.1,4.4,11.2,2.3,0.2,3.4,1.8,2011,0
Derrick Rose,22,Guard,CHI,81.0,81,37.4,25.0,0.445,0.481,0.332,0.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,2011,1
Brandon Roy,26,Guard,POR,47.0,23,27.9,12.2,0.4,0.418,0.333,0.848,0.6,2.0,2.6,2.7,0.8,0.3,1.2,1.6,2011,0
Brandon Rush,25,Guard,IND,67.0,21,26.2,9.1,0.421,0.425,0.417,0.755,0.5,2.7,3.2,0.9,0.6,0.5,1.0,1.6,2011,0
John Salmons,31,Guard,MIL,73.0,70,35.0,14.0,0.415,0.4270000000000001,0.379,0.813,0.4,3.3,3.6,3.5,1.0,0.4,1.9,2.2,2011,0
Luis Scola,30,Forward,HOU,74.0,74,32.6,18.3,0.504,0.505,0.0,0.738,2.0,6.2,8.2,2.5,0.6,0.6,2.0,3.1,2011,0
