Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Doug McDermott,28,PF,IND,69,0,19.9,10.3,.488,.549,.435,.828,0.4,2.1,2.5,1.1,0.2,0.1,0.6,1.7,2020
JaVale McGee,32,C,LAL,68,68,16.6,6.6,.637,.640,.500,.646,1.8,3.9,5.7,0.5,0.5,1.4,0.8,2.3,2020
Rodney McGruder,28,SG,LAC,56,4,15.6,3.3,.398,.522,.270,.559,0.5,2.2,2.7,0.6,0.5,0.1,0.4,1.3,2020
Alfonzo McKinnie,27,SF,CLE,40,1,14.8,4.6,.427,.557,.215,.710,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,2020
Jordan McLaughlin,23,PG,MIN,30,2,19.7,7.6,.489,.569,.382,.667,0.2,1.4,1.6,4.2,1.1,0.1,1.0,1.0,2020
Ben McLemore,26,SF,HOU,71,23,22.8,10.1,.444,.656,.400,.746,0.3,1.9,2.2,0.8,0.6,0.2,0.7,2.2,2020
Jordan McRae,28,SG,TOT,37,4,21.2,11.5,.407,.433,.357,.761,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2.0,2020
Nicolò Melli,29,C,NOP,60,8,17.4,6.6,.421,.573,.335,.740,0.6,2.4,3.0,1.4,0.6,0.4,0.8,2.1,2020
De'Anthony Melton,21,PG,MEM,60,8,19.5,7.6,.401,.464,.286,.769,0.7,3.0,3.7,2.9,1.3,0.3,1.4,1.8,2020
Chimezie Metu,22,C,SAS,18,0,5.8,3.2,.571,.600,.000,.769,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,2020
Khris Middleton,28,SF,MIL,62,59,29.9,20.9,.497,.546,.415,.916,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,2020
Eric Mika,25,C,SAC,1,0,19.0,6.0,.667,.667,,1.000,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,2020
C.J. Miles,32,SF,WAS,10,0,16.1,6.4,.322,.333,.314,.750,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,2020
